Name;address;Link;categoria principale;tags;da provare
Sfashion cafè;Via Cesare Battisti, 13, 10123 Torino;https://g.page/sfashioncafe?share;ristorante;pizza,aperitivo,dehor,centro;
Silos;Via Santa Giulia 21/A, 10124 Torino, Turin, Italy;https://goo.gl/maps/6Hp3PUJbyfbUrXF98;ristorante;caro,vanchiglia;
Bicyclette;Via Sant'Agostino 4D, 10122 Turin, Italy;https://goo.gl/maps/YrwWv7jgFbf3WjF8A;ristorante;pub,crepes,centro;
Pastis 2020;Piazza Emanuele Filiberto 9/B, 10122 Torino, Turin, Italy;https://g.page/pastis-torino?share;aperitivo;ristorante,Cocktail,quandrilatero,dehor;
Trattoria Ala;Via Santa Giulia 24, 10124 Torino, Turin, Italy;https://goo.gl/maps/R7Y8xDUn67iQJTyB8;ristorante;toscano,vanchiglia,regionale;
Le Papille;Via Principi d'Acaja, 37, 10138 Torino;https://goo.gl/maps/pRdwiKPZ5ezNhNyg6;ristorante;dehor,centro,porta susa;
De Amicis;Corso Casale, 134, 10132 Torino;https://g.page/ristorante-de-amicis?share;ristorante;dehor,collina,lungo po,romano,regionale;
Salsedine;Via Gian Francesco Bellezia, 22, 10122 Torino;https://g.page/SalsedineTorino?share;ristorante;caro,pesce,quadrilatero;
La Società dei Carbonari;Via Silvio Pellico, 7 bis/E, 10125 Torino;https://g.page/lasocietadeicarbonari?share;ristorante;piemontese,san salvario;
il Mercato Centrale Torino;Piazza della Repubblica 15, 10152 Turin, Italy;https://goo.gl/maps/PiDcTegW6i8ShG8SA;ristorante;caffè,aperitivo,porta palazzo;
Adonis Creperie;Via Belfiore, 48, 10125 Torino, Turin, Italy;https://g.page/adonis-creperie-bistro-gourmet?share;brunch;ristorante;
Sweet Lab;Via Giuseppe Mazzini 31/L, 10123 Torino, Italy;https://g.page/sweetlabtorino?share;brunch;caffè;
Teapot;Via Silvio Pellico 18, 10125 Torino, Turin, Italy;https://goo.gl/maps/HgfZjhh8WrQMxAEn6;brunch;san salvario,caffè;
CasaGoffi;Viale Suor Giovanna Francesca Michelotti, 52, 10123 Torino;https://goo.gl/maps/1Le2uH9Q4Y4N96av6;brunch;dehor,lungo po,collina;
PAI Bikery;Via Cagliari 18/D, 10153 Torino, Turin, Italy;https://goo.gl/maps/KJtaqVSK2FyNukhL9;brunch;caffè,aurora;
Barbiturici;Via Santa Giulia 21 bis/B, 10124 Torino, Italy;https://goo.gl/maps/CJ92NNPCHGWQkgxP8;brunch;caffè,vanchiglia;
Cocotte Milano;Via Benvenuto Cellini, 1, 20129 Milano;https://goo.gl/maps/4L9BAQypHEZTJjF9A;brunch;ristorante,milano,brunch;
Barney's;Via Giambattista Bogino, 9, 10123 Torino;https://g.page/barney-s-srl?share;brunch;caffè,centro;
Smile Tree;Piazza della Consolata 9/C, 10122 Torino, Turin, Italy;https://goo.gl/maps/BqGXvds9tj6ze28g7;aperitivo;Cocktail,quadrilatero;
Casa Manitu;Via Virle, 19 10138 Turin Italy;https://goo.gl/maps/juAqhiiZ7k7ZC93Q9;aperitivo;Cocktail,crocetta;
Lanificio San Salvatore;Via Sant'Anselmo 30, 10125 Torino, Turin, Italy;https://goo.gl/maps/hbiy9GLyzV9Y6Gtu7;brunch;Cocktail,san salvario;
SIX Nations;Corso Vittorio Emanuele II 28, 10123 Torino, Turin, Italy;https://goo.gl/maps/PUbK9hppNueZBABJ6;pub;burger,centro;
Oro Birra;Corso Regina Margherita, 97, 10124 Torino;https://g.page/pubtorino?share;pub;burger,porta palazzo,corso regina;
Piper Pub;Via del Ridotto 22, 10147 Torino, Turin, Italy;https://goo.gl/maps/4D3EQtxvLnX88HLG7;pub;ristorante,burger,borgo vittoria,grezzo;
manhattan pub;Via Errico Giachino 46, 10149 Torino, Turin, Italy;https://goo.gl/maps/ArTJ2ZbsTbEHVFxF8;pub;ristorante,borgo vittoria,grezzo;
Petit Baladin;Via Saluzzo, 21, 10125 Torino;https://goo.gl/maps/UasRMJjvvL9WSHjKA;pub;burger,san salvario;
Open Baladin Torino;Piazzale Valdo Fusi, 10123 Torino, Italia;https://goo.gl/maps/UasRMJjvvL9WSHjKA;pub;ristorante,burger,centro;
Rock Burger;Via Roero di Cortanze 2, 10124 Turin, Italy;https://g.page/rockburgertorino?share;burger;centro;
The Duke of Wellington;Via Sebastiano Caboto, 26, 10129 Torino;https://goo.gl/maps/Ce4La9zP3164TtHJ8;pub;burger,crocetta;
Birrificio di Anzola;Via Fratelli Borghini 62, 28877 Anzola d'Ossola, Province of Verbano-Cusio-Ossola, Italy;https://goo.gl/maps/cB2xKPHPeqo3ehzo6;pub;ristorante,val d'ossola;
Edit;Via Francesco Cigna 10155 Turin Italy;https://g.page/EDIT-Torino-OpenShareEnjoy?share;ristorante;brunch,pub,barriera di milano;
Flower Burger;Via Antonio Bertola, 29, 10122 Torino;https://goo.gl/maps/ogc7kXqQiUkdvv969;burger;vegan,centro;
ISOLA;Via Goito, 15, 10125 Torino TO;https://goo.gl/maps/hCH1cdmAfimaQP4x5;brunch;san salvario;
Taverna La Cialoma;Piazza Regina Margherita, 23, 96018 Marzamemi SR;https://goo.gl/maps/52gtyTjnMCCxuyDz6;ristorante;pesce,regionale,siciliano,dehor;
Caffè al Ciclope;Piazza Vittorio Emanuele, 96018 Pachino SR;https://goo.gl/maps/H8UTkYYmx5pnDitf9;caffè;pasticceria,granita,colazione;
Pasticceria Costarelli;P.za Duomo, 21, 95024 Acireale CT;https://goo.gl/maps/L329d3S4LLDGyqPn7;pasticceria;granita,caffè;
Pasticceria Artale;Via Saverio Landolina, 32, 96100 Siracusa SR;https://g.page/PasticceraArtale?share;pasticceria;granita,caffè;
Il re dei girgenti;Via Panoramica Valle dei Templi, 51, 92100 Agrigento AG;https://goo.gl/maps/FECVQF5Vew5K9CvH9;ristorante;caro,pesce,siciliano,regionale;
Ca' Mais;Via Catania, 25, 10153 Torino TO;https://g.page/camaistorino?share;ristorante;tapas,aurora,dehor;
Brace Pura;Via Roero di Cortanze, 2, 10124 Torino TO;https://g.page/Bracepura?share;ristorante;griglia,carne,caro,centro;
Albergo Ristorante San Giors;Via Borgo Dora, 3/A, 10152 Torino TO;https://g.page/SanGiors?share;ristorante;piemontese;
Tuorlo Vino e Cucina;Via San Domenico, 12/b, 10122 Torino;https://goo.gl/maps/VQfwSytQVd8ig3x47;ristorante;caro;
Ristorante Indiano Dawat;Via Milano, 8/H, 10122 Torino;https://goo.gl/maps/KtZaTw1aGNTXXjBV9;etnico;indiano;da provare
PANK RISTORANTE;Via Rodi, 4, 10122 Torino;https://goo.gl/maps/pEb75Syzm3k1JMtV7;ristorante;quadrilatero,centro,caro;da provare
Wasabi;Corso Francesco Ferrucci 72, 10138 Torino, Turin, Italy;https://goo.gl/maps/UKWWyZ4ezojrWZB9A;sushi-poke;crocetta,giapponese;da provare
Razzo;Via Andrea Doria, 17, 10123 Torino;https://goo.gl/maps/vefFvLkkz22NjvEX7;ristorante;caro,centro;da provare
Les Deux;Via San Massimo 30, 10123 Torino, Italy;https://goo.gl/maps/jCbqiCeYFi3EAgS57;ristorante;aperitivo,vino,francese,centro;da provare
Casa Fiore;Via della Rocca 39, 10123 Torino, Turin, Italy;https://goo.gl/maps/ZmxYHaVfbAESQrmK8;ristorante;piemontese,centro;da provare
Matsurika di Tokyo;Via San Massimo 36, 10123 Torino, Italy;https://g.page/matsurika?share;etnico;street food,giapponese,centro;da provare
Dollì Cucina al Centro;Via Ormea, 6C, 10125 Torino;https://g.page/DolliCucinaAlCentro?share;ristorante;san salvario;da provare
Al Campidoglio Cucina Romana;Via Rocciamelone, 17, 10143 Torino TO;https://goo.gl/maps/g4jxg9RRhEc4FKfH9;ristorante;campidoglio;da provare
Ristorante Ratatui;Via San Rocchetto 34, 10143 Torino, Turin, Italy;https://g.page/ristoranteratatui?share;ristorante;campidoglio,dehor;da provare
Da Zero Torino;Via San Domenico, 33, 10122 Torino;https://goo.gl/maps/jnXpLzBqVHm5Kkkg9;pizza;centro;
Ruràl Pizza;Via Mantova 27, 10153 Torino, Turin, Italy;https://goo.gl/maps/oHhYzWCjer3U4Bad8;pizza;aurora;da provare
Caffe-Vini Emilio Ranzini;Via Porta Palatina 9, 10122 Torino, Turin, Italy;https://goo.gl/maps/CJZrQ6j26wRZnNYu9;aperitivo;quadrilatero;da provare
Osteria Barcellona;Via Pier Dionigi Pinelli, 46, 10144 Torino TO;https://g.page/osteria-barcellona?share;ristorante;campidoglio,pesce,siciliano,regionale;da provare
Dulcis in Fundo;Via Gianfranco Zuretti, 55, 20125 Milano;https://g.page/DulcisZuretti55?share;brunch;milano;da provare
Deus Cafe Isola;Via Genova Giovanni Thaon di Revel 3, 20159 Milan, Milano, Italy;https://goo.gl/maps/EA49Q9pVGkDyfKp49;brunch;ristorante,burger,milano;
L'ancora;Via della Rocca, 22 b, 10123 Torino TO;https://goo.gl/maps/f1qPPGyiP71iurMK6;ristorante;pesce,caro,centro;da provare
The Mad Dog;Via Maria Vittoria, 35A 10123 Turin Italy;https://goo.gl/maps/NYv9aZF3rRYmVrNC7;cocktail;centro,speakeasy;da provare
Miyabi;Via Ferdinando Bonsignore 8, 10131 Torino, Italy;https://goo.gl/maps/rVQ1gEkrNk2hdFwJ9;sushi-poke;caro,giapponese;da provare
La Limonaia;Via Mario Ponzio 10, 10141 Torino, Turin, Italy;https://goo.gl/maps/Xjx2AGbf6t9agZmS7;ristorante;caro,parella,dehor;da provare
Osteria Antiche Sere;Via Cenischia 9, 10139 Torino, Turin, Italy;https://goo.gl/maps/3cbiCpuC7FTZMfSYA;ristorante;osteria,parella;da provare
Petronilla;Corso Verona 38/E, 10153 Torino, Italy;https://goo.gl/maps/aeSfK2SUaHuB5BrX8;brunch;aurora;da provare
La Fucina;Via Madama Cristina, 86, 10126 Torino TO;https://goo.gl/maps/9jWssD5jHzzmz4pW6;ristorante;san salvario;da provare
Il Chioschetto;Via Giovanni Carlo Cavalli, 25, 10138 Torino TO;https://goo.gl/maps/SdTmFjvttJXsUVm76;aperitivo;cit turin,dehor;da provare
Cucina Giapponese Takoyaki Minamoto Torino;Via Giambattista Bogino, 17/D, 10123 Torino TO;https://g.page/TakoyakiMinamotoTorino?share;etnico;giapponese,street food,centro;da provare
La Santa Wine & Spirits Torino;Via Stampatori, 19/h, 10122 Torino TO;https://g.page/lasantatorino?share;cocktail;quadrilatero;da provare
Du Cesari;Corso Regina Margherita, 252, 10144 Torino TO;https://g.page/DuCesari?share;ristorante;romano,corso regina,regionale;da provare
Hamerica’s;Via Belfiore, 24, 10125 Torino TO;https://goo.gl/maps/xtcdVxGT4g1uUHeK6;burger;san salvario;da provare
Poldo;Via Dante Di Nanni 97, 10141 Torino TO;https://goo.gl/maps/9MZwVnjrQmihiv8x7;Pizza;Padellino;da provare
kensho;Via dei Mercanti, 16, 10122 Torino TO;https://g.page/kenshorestaurant?share;fusion;giapponese,caro,quadrilatero;da provare
casa fedora;Via Asti, 23, 10131 Torino TO;https://g.page/casafedoratorino?share;brunch;collina;da provare
cafe bloom;Via Catania, 21/A, 10153 Torino TO;https://goo.gl/maps/5vCAWwGJPRibxSSx6;brunch;aurora,dehor;
tauer bakery;Via Madama Cristina, 22, 10125 Torino TO;https://goo.gl/maps/BWDoXha4vMP9zFUs8;brunch;san salvario;da provare
noor;Via Santa Giulia, 48d, 10124 Torino TO;https://goo.gl/maps/c7X3WPZzGyHqn8oNA;brunch;vanchiglia;da provare
avocuddle;Galleria Umberto I, n° 25, 10122 Torino TO;https://g.page/AvocuddleTorino?share;brunch;quadrilatero;da provare
formula mago;Via Cavour, 12, 10123 Torino TO;https://goo.gl/maps/bb8oJ75NehNy1B4J6;brunch;cocktail,centro;da provare
Da Varsa – La capanna dei nonni;Via Guastalla, 20, 10124 Torino TO;https://goo.gl/maps/Qv9zNE6818TFdmdY6;ristorante;vanchiglia;da provare
Hostaria dai Musi;Piazza Michele Ferrero, 4/D, 12051 Alba CN;https://goo.gl/maps/uLCu8kBByaif9HzK9;ristorante;pesce,caro,langhe;da provare
cantina comunale catiglione falleto;Via Camillo Benso Conte di Cavour, 24, 12060 Castiglione Falletto CN;https://goo.gl/maps/mX4pJ26kg6FWNbGG7;ristorante;piemontese,langhe;da provare
Banco di sicilia;Via Arnaldo da Brescia, 23, 10134 Torino TO;https://g.page/ristorantebancodisicilia?share;ristorante;siciliano,corso unione,regionale;
Oinos;Via della Rocca, 39/g, 10123 Torino TO;https://goo.gl/maps/zBdnpnAFasg8VzCy6;ristorante;pesce,caro,sushi,siciliano,centro;da provare
Bastimento;Via della Rocca, 10/b, 10123 Torino TO;https://g.page/ristorantebastimento?share;ristorante;pesce,caro,centro;
